,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
0,,iti,,,,,,67.72764019994065,0.0
1,,iti,,,,,,69.22764019994065,1.5
2,,iti,,,,,,70.72764019994065,3.0
0,fix,iti,404.0,,,,3.0,72.22764019994065,4.5
1,fix,iti,405.0,,,,3.0,73.72764019994065,6.0
2,fix,iti,406.0,,,,3.0,75.22764019994065,7.5
3,fix,iti,407.0,,,,3.0,76.72764019994065,9.0
4,fix,iti,408.0,,,,3.0,78.22764019994065,10.5
5,reward108,ring,409.0,-0.73,108.0,rew,3.0,79.72764019994065,12.0
6,reward108,prep,410.0,-0.73,108.0,rew,3.0,81.22764019994065,13.5
7,reward108,dot,411.0,-0.73,108.0,rew,3.0,82.72764019994065,15.0
8,fix,iti,412.0,,,,3.0,84.22764019994065,16.5
9,fix,iti,413.0,,,,3.0,85.72764019994065,18.0
10,fix,iti,414.0,,,,3.0,87.22764019994065,19.5
11,neutralCatch2,ring,415.0,,,neu,3.0,88.72764019994065,21.0
12,fix,iti,416.0,,,,3.0,90.22764019994065,22.5
13,reward532,ring,417.0,0.33,532.0,rew,3.0,91.72764019994065,24.0
14,reward532,prep,418.0,0.33,532.0,rew,3.0,93.22764019994065,25.5
15,reward532,dot,419.0,0.33,532.0,rew,3.0,94.72764019994065,27.0
16,fix,iti,420.0,,,,3.0,96.22764019994065,28.5
17,reward007,ring,421.0,-0.9825,7.0,rew,3.0,97.72764019994065,30.0
18,reward007,prep,422.0,-0.9825,7.0,rew,3.0,99.22764019994065,31.5
19,reward007,dot,423.0,-0.9825,7.0,rew,3.0,100.72764019994065,33.0
20,fix,iti,424.0,,,,3.0,102.22764019994065,34.5
21,neutral007,ring,425.0,-0.9825,7.0,neu,3.0,103.72764019994065,36.0
22,neutral007,prep,426.0,-0.9825,7.0,neu,3.0,105.22764019994065,37.5
23,neutral007,dot,427.0,-0.9825,7.0,neu,3.0,106.72764019994065,39.0
24,fix,iti,428.0,,,,3.0,108.22764019994065,40.5
25,fix,iti,429.0,,,,3.0,109.72764019994065,42.0
26,fix,iti,430.0,,,,3.0,111.22764019994065,43.5
27,fix,iti,431.0,,,,3.0,112.72764019994065,45.0
