,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
0,,iti,,,,,,39.62735299998894,0.0
1,,iti,,,,,,41.12735299998894,1.5
2,,iti,,,,,,42.62735299998894,3.0
0,neutral426,ring,0.0,0.065,426.0,neu,1.0,44.12735299998894,4.5
1,neutral426,prep,1.0,0.065,426.0,neu,1.0,45.62735299998894,6.0
2,neutral426,dot,2.0,0.065,426.0,neu,1.0,47.12735299998894,7.5
3,fix,iti,3.0,,,,1.0,48.62735299998894,9.0
4,reward007,ring,4.0,-0.9825,7.0,rew,1.0,50.12735299998894,10.5
5,reward007,prep,5.0,-0.9825,7.0,rew,1.0,51.62735299998894,12.0
6,reward007,dot,6.0,-0.9825,7.0,rew,1.0,53.12735299998894,13.5
7,fix,iti,7.0,,,,1.0,54.62735299998894,15.0
8,neutralCatch1,ring,8.0,,,neu,1.0,56.12735299998894,16.5
9,neutralCatch1,prep,9.0,,,neu,1.0,57.62735299998894,18.0
10,fix,iti,10.0,,,,1.0,59.12735299998894,19.5
11,neutral633,ring,11.0,0.5825,633.0,neu,1.0,60.62735299998894,21.0
12,neutral633,prep,12.0,0.5825,633.0,neu,1.0,62.12735299998894,22.5
13,neutral633,dot,13.0,0.5825,633.0,neu,1.0,63.62735299998894,24.0
14,fix,iti,14.0,,,,1.0,65.12735299998894,25.5
15,fix,iti,15.0,,,,1.0,66.62735299998894,27.0
16,fix,iti,16.0,,,,1.0,68.12735299998894,28.5
17,neutralCatch2,ring,17.0,,,neu,1.0,69.62735299998894,30.0
18,fix,iti,18.0,,,,1.0,71.12735299998894,31.5
19,reward633,ring,19.0,0.5825,633.0,rew,1.0,72.62735299998894,33.0
20,reward633,prep,20.0,0.5825,633.0,rew,1.0,74.12735299998894,34.5
21,reward633,dot,21.0,0.5825,633.0,rew,1.0,75.62735299998894,36.0
22,fix,iti,22.0,,,,1.0,77.12735299998894,37.5
23,fix,iti,23.0,,,,1.0,78.62735299998894,39.0
24,fix,iti,24.0,,,,1.0,80.12735299998894,40.5
25,fix,iti,25.0,,,,1.0,81.62735299998894,42.0
26,fix,iti,26.0,,,,1.0,83.12735299998894,43.5
27,fix,iti,27.0,,,,1.0,84.62735299998894,45.0
28,rewardCatch2,ring,28.0,,,rew,1.0,86.12735299998894,46.5
29,fix,iti,29.0,,,,1.0,87.62735299998894,48.0
30,reward426,ring,30.0,0.065,426.0,rew,1.0,89.12735299998894,49.5
31,reward426,prep,31.0,0.065,426.0,rew,1.0,90.62735299998894,51.0
32,reward426,dot,32.0,0.065,426.0,rew,1.0,92.12735299998894,52.5
33,fix,iti,33.0,,,,1.0,93.62735299998894,54.0
34,neutral108,ring,34.0,-0.73,108.0,neu,1.0,95.12735299998894,55.5
35,neutral108,prep,35.0,-0.73,108.0,neu,1.0,96.62735299998894,57.0
36,neutral108,dot,36.0,-0.73,108.0,neu,1.0,98.12735299998894,58.5
37,fix,iti,37.0,,,,1.0,99.62735299998894,60.0
38,fix,iti,38.0,,,,1.0,101.12735299998894,61.5
39,fix,iti,39.0,,,,1.0,102.62735299998894,63.0
40,fix,iti,40.0,,,,1.0,104.12735299998894,64.5
41,reward633,ring,41.0,0.5825,633.0,rew,1.0,105.62735299998894,66.0
42,reward633,prep,42.0,0.5825,633.0,rew,1.0,107.12735299998894,67.5
43,reward633,dot,43.0,0.5825,633.0,rew,1.0,108.62735299998894,69.0
44,fix,iti,44.0,,,,1.0,110.12735299998894,70.5
45,fix,iti,45.0,,,,1.0,111.62735299998894,72.0
46,fix,iti,46.0,,,,1.0,113.12735299998894,73.5
47,fix,iti,47.0,,,,1.0,114.62735299998894,75.0
48,neutral633,ring,48.0,0.5825,633.0,neu,1.0,116.12735299998894,76.5
49,neutral633,prep,49.0,0.5825,633.0,neu,1.0,117.62735299998894,78.0
50,neutral633,dot,50.0,0.5825,633.0,neu,1.0,119.12735299998894,79.5
51,fix,iti,51.0,,,,1.0,120.62735299998894,81.0
52,neutral007,ring,52.0,-0.9825,7.0,neu,1.0,122.12735299998894,82.5
53,neutral007,prep,53.0,-0.9825,7.0,neu,1.0,123.62735299998894,84.0
54,neutral007,dot,54.0,-0.9825,7.0,neu,1.0,125.12735299998894,85.5
55,fix,iti,55.0,,,,1.0,126.62735299998894,87.0
56,reward532,ring,56.0,0.33,532.0,rew,1.0,128.12735299998894,88.5
57,reward532,prep,57.0,0.33,532.0,rew,1.0,129.62735299998894,90.0
58,reward532,dot,58.0,0.33,532.0,rew,1.0,131.12735299998894,91.5
59,fix,iti,59.0,,,,1.0,132.62735299998894,93.0
60,reward007,ring,60.0,-0.9825,7.0,rew,1.0,134.12735299998894,94.5
61,reward007,prep,61.0,-0.9825,7.0,rew,1.0,135.62735299998894,96.0
62,reward007,dot,62.0,-0.9825,7.0,rew,1.0,137.12735299998894,97.5
63,fix,iti,63.0,,,,1.0,138.62735299998894,99.0
64,reward532,ring,64.0,0.33,532.0,rew,1.0,140.12735299998894,100.5
65,reward532,prep,65.0,0.33,532.0,rew,1.0,141.62735299998894,102.0
66,reward532,dot,66.0,0.33,532.0,rew,1.0,143.12735299998894,103.5
67,fix,iti,67.0,,,,1.0,144.62735299998894,105.0
68,fix,iti,68.0,,,,1.0,146.12735299998894,106.5
69,fix,iti,69.0,,,,1.0,147.62735299998894,108.0
70,fix,iti,70.0,,,,1.0,149.12735299998894,109.5
71,fix,iti,71.0,,,,1.0,150.62735299998894,111.0
72,fix,iti,72.0,,,,1.0,152.12735299998894,112.5
73,fix,iti,73.0,,,,1.0,153.62735299998894,114.0
74,fix,iti,74.0,,,,1.0,155.12735299998894,115.5
75,fix,iti,75.0,,,,1.0,156.62735299998894,117.0
76,neutral214,ring,76.0,-0.465,214.0,neu,1.0,158.12735299998894,118.5
77,neutral214,prep,77.0,-0.465,214.0,neu,1.0,159.62735299998894,120.0
78,neutral214,dot,78.0,-0.465,214.0,neu,1.0,161.12735299998894,121.5
79,fix,iti,79.0,,,,1.0,162.62735299998894,123.0
80,fix,iti,80.0,,,,1.0,164.12735299998894,124.5
81,fix,iti,81.0,,,,1.0,165.62735299998894,126.0
82,reward108,ring,82.0,-0.73,108.0,rew,1.0,167.12735299998894,127.5
83,reward108,prep,83.0,-0.73,108.0,rew,1.0,168.62735299998894,129.0
84,reward108,dot,84.0,-0.73,108.0,rew,1.0,170.12735299998894,130.5
85,fix,iti,85.0,,,,1.0,171.62735299998894,132.0
86,neutral007,ring,86.0,-0.9825,7.0,neu,1.0,173.12735299998894,133.5
87,neutral007,prep,87.0,-0.9825,7.0,neu,1.0,174.62735299998894,135.0
88,neutral007,dot,88.0,-0.9825,7.0,neu,1.0,176.12735299998894,136.5
89,fix,iti,89.0,,,,1.0,177.62735299998894,138.0
90,neutralCatch2,ring,90.0,,,neu,1.0,179.12735299998894,139.5
91,fix,iti,91.0,,,,1.0,180.62735299998894,141.0
92,neutral426,ring,92.0,0.065,426.0,neu,1.0,182.12735299998894,142.5
93,neutral426,prep,93.0,0.065,426.0,neu,1.0,183.62735299998894,144.0
94,neutral426,dot,94.0,0.065,426.0,neu,1.0,185.12735299998894,145.5
95,fix,iti,95.0,,,,1.0,186.62735299998894,147.0
96,fix,iti,96.0,,,,1.0,188.12735299998894,148.5
97,fix,iti,97.0,,,,1.0,189.62735299998894,150.0
98,fix,iti,98.0,,,,1.0,191.12735299998894,151.5
99,fix,iti,99.0,,,,1.0,192.62735299998894,153.0
100,fix,iti,100.0,,,,1.0,194.12735299998894,154.5
101,neutral214,ring,101.0,-0.465,214.0,neu,1.0,195.62735299998894,156.0
102,neutral214,prep,102.0,-0.465,214.0,neu,1.0,197.12735299998894,157.5
103,neutral214,dot,103.0,-0.465,214.0,neu,1.0,198.62735299998894,159.0
104,fix,iti,104.0,,,,1.0,200.12735299998894,160.5
105,rewardCatch2,ring,105.0,,,rew,1.0,201.62735299998894,162.0
106,fix,iti,106.0,,,,1.0,203.12735299998894,163.5
107,rewardCatch1,ring,107.0,,,rew,1.0,204.62735299998894,165.0
108,rewardCatch1,prep,108.0,,,rew,1.0,206.12735299998894,166.5
109,fix,iti,109.0,,,,1.0,207.62735299998894,168.0
110,fix,iti,110.0,,,,1.0,209.12735299998894,169.5
111,fix,iti,111.0,,,,1.0,210.62735299998894,171.0
112,fix,iti,112.0,,,,1.0,212.12735299998894,172.5
113,reward426,ring,113.0,0.065,426.0,rew,1.0,213.62735299998894,174.0
114,reward426,prep,114.0,0.065,426.0,rew,1.0,215.12735299998894,175.5
115,reward426,dot,115.0,0.065,426.0,rew,1.0,216.62735299998894,177.0
116,fix,iti,116.0,,,,1.0,218.12735299998894,178.5
117,neutral633,ring,117.0,0.5825,633.0,neu,1.0,219.62735299998894,180.0
118,neutral633,prep,118.0,0.5825,633.0,neu,1.0,221.12735299998894,181.5
119,neutral633,dot,119.0,0.5825,633.0,neu,1.0,222.62735299998894,183.0
120,fix,iti,120.0,,,,1.0,224.12735299998894,184.5
121,reward108,ring,121.0,-0.73,108.0,rew,1.0,225.62735299998894,186.0
122,reward108,prep,122.0,-0.73,108.0,rew,1.0,227.12735299998894,187.5
123,reward108,dot,123.0,-0.73,108.0,rew,1.0,228.62735299998894,189.0
124,fix,iti,124.0,,,,1.0,230.12735299998894,190.5
125,neutralCatch2,ring,125.0,,,neu,1.0,231.62735299998894,192.0
126,fix,iti,126.0,,,,1.0,233.12735299998894,193.5
127,fix,iti,127.0,,,,1.0,234.62735299998894,195.0
128,fix,iti,128.0,,,,1.0,236.12735299998894,196.5
129,neutral532,ring,129.0,0.33,532.0,neu,1.0,237.62735299998894,198.0
130,neutral532,prep,130.0,0.33,532.0,neu,1.0,239.12735299998894,199.5
131,neutral532,dot,131.0,0.33,532.0,neu,1.0,240.62735299998894,201.0
132,fix,iti,132.0,,,,1.0,242.12735299998894,202.5
133,neutral007,ring,133.0,-0.9825,7.0,neu,1.0,243.62735299998894,204.0
134,neutral007,prep,134.0,-0.9825,7.0,neu,1.0,245.12735299998894,205.5
135,neutral007,dot,135.0,-0.9825,7.0,neu,1.0,246.62735299998894,207.0
136,fix,iti,136.0,,,,1.0,248.12735299998894,208.5
137,neutral532,ring,137.0,0.33,532.0,neu,1.0,249.62735299998894,210.0
138,neutral532,prep,138.0,0.33,532.0,neu,1.0,251.12735299998894,211.5
139,neutral532,dot,139.0,0.33,532.0,neu,1.0,252.62735299998894,213.0
140,fix,iti,140.0,,,,1.0,254.12735299998894,214.5
141,reward007,ring,141.0,-0.9825,7.0,rew,1.0,255.62735299998894,216.0
142,reward007,prep,142.0,-0.9825,7.0,rew,1.0,257.12735299998894,217.5
143,reward007,dot,143.0,-0.9825,7.0,rew,1.0,258.62735299998894,219.0
144,fix,iti,144.0,,,,1.0,260.12735299998894,220.5
145,fix,iti,145.0,,,,1.0,261.62735299998894,222.0
146,fix,iti,146.0,,,,1.0,263.12735299998894,223.5
147,fix,iti,147.0,,,,1.0,264.62735299998894,225.0
148,reward633,ring,148.0,0.5825,633.0,rew,1.0,266.12735299998894,226.5
149,reward633,prep,149.0,0.5825,633.0,rew,1.0,267.62735299998894,228.0
150,reward633,dot,150.0,0.5825,633.0,rew,1.0,269.12735299998894,229.5
151,fix,iti,151.0,,,,1.0,270.62735299998894,231.0
152,reward214,ring,152.0,-0.465,214.0,rew,1.0,272.12735299998894,232.5
153,reward214,prep,153.0,-0.465,214.0,rew,1.0,273.62735299998894,234.0
154,reward214,dot,154.0,-0.465,214.0,rew,1.0,275.12735299998894,235.5
155,fix,iti,155.0,,,,1.0,276.62735299998894,237.0
156,rewardCatch1,ring,156.0,,,rew,1.0,278.12735299998894,238.5
157,rewardCatch1,prep,157.0,,,rew,1.0,279.62735299998894,240.0
158,fix,iti,158.0,,,,1.0,281.12735299998894,241.5
159,neutralCatch1,ring,159.0,,,neu,1.0,282.62735299998894,243.0
160,neutralCatch1,prep,160.0,,,neu,1.0,284.12735299998894,244.5
161,fix,iti,161.0,,,,1.0,285.62735299998894,246.0
162,fix,iti,162.0,,,,1.0,287.12735299998894,247.5
163,fix,iti,163.0,,,,1.0,288.62735299998894,249.0
164,fix,iti,164.0,,,,1.0,290.12735299998894,250.5
165,fix,iti,165.0,,,,1.0,291.62735299998894,252.0
