,event_name,index,run,epevent,position600,ring_type,position,onset,onset0
0,iti,,,,,,,8.924061589999837,0.0
1,iti,,,,,,,10.424061589999837,1.5
2,iti,,,,,,,11.924061589999837,3.0
0,ring,0.0,1.0,neutral426,426.0,neu,0.065,13.424061589999837,4.5
1,prep,1.0,1.0,neutral426,426.0,neu,0.065,14.924061589999837,6.0
2,dot,2.0,1.0,neutral426,426.0,neu,0.065,16.424061589999837,7.5
3,iti,3.0,1.0,fix,,,,17.924061589999837,9.0
4,ring,4.0,1.0,reward007,7.0,rew,-0.9825,19.424061589999837,10.5
5,prep,5.0,1.0,reward007,7.0,rew,-0.9825,20.924061589999837,12.0
6,dot,6.0,1.0,reward007,7.0,rew,-0.9825,22.424061589999837,13.5
7,iti,7.0,1.0,fix,,,,23.924061589999837,15.0
8,ring,8.0,1.0,neutralCatch1,,neu,,25.424061589999837,16.5
9,prep,9.0,1.0,neutralCatch1,,neu,,26.924061589999837,18.0
10,iti,10.0,1.0,fix,,,,28.424061589999837,19.5
11,ring,11.0,1.0,neutral633,633.0,neu,0.5825,29.924061589999837,21.0
12,prep,12.0,1.0,neutral633,633.0,neu,0.5825,31.424061589999837,22.5
13,dot,13.0,1.0,neutral633,633.0,neu,0.5825,32.92406158999984,24.0
14,iti,14.0,1.0,fix,,,,34.42406158999984,25.5
15,iti,15.0,1.0,fix,,,,35.92406158999984,27.0
16,iti,16.0,1.0,fix,,,,37.42406158999984,28.5
17,ring,17.0,1.0,neutralCatch2,,neu,,38.92406158999984,30.0
18,iti,18.0,1.0,fix,,,,40.42406158999984,31.5
19,ring,19.0,1.0,reward633,633.0,rew,0.5825,41.92406158999984,33.0
20,prep,20.0,1.0,reward633,633.0,rew,0.5825,43.42406158999984,34.5
21,dot,21.0,1.0,reward633,633.0,rew,0.5825,44.92406158999984,36.0
22,iti,22.0,1.0,fix,,,,46.42406158999984,37.5
23,iti,23.0,1.0,fix,,,,47.92406158999984,39.0
24,iti,24.0,1.0,fix,,,,49.42406158999984,40.5
25,iti,25.0,1.0,fix,,,,50.92406158999984,42.0
26,iti,26.0,1.0,fix,,,,52.42406158999984,43.5
27,iti,27.0,1.0,fix,,,,53.92406158999984,45.0
28,ring,28.0,1.0,rewardCatch2,,rew,,55.42406158999984,46.5
29,iti,29.0,1.0,fix,,,,56.92406158999984,48.0
