,epevent,event_name,index,position,position600,ring_type,run,onset,onset0
0,,iti,,,,,,385.651655100286,0.0
1,,iti,,,,,,387.151655100286,1.5
2,,iti,,,,,,388.651655100286,3.0
0,neutral532,ring,202.0,0.33,532.0,neu,2.0,390.151655100286,4.5
1,neutral532,prep,203.0,0.33,532.0,neu,2.0,391.651655100286,6.0
2,neutral532,dot,204.0,0.33,532.0,neu,2.0,393.151655100286,7.5
3,fix,iti,205.0,,,,2.0,394.651655100286,9.0
4,reward007,ring,206.0,-0.9825,7.0,rew,2.0,396.151655100286,10.5
5,reward007,prep,207.0,-0.9825,7.0,rew,2.0,397.651655100286,12.0
6,reward007,dot,208.0,-0.9825,7.0,rew,2.0,399.151655100286,13.5
7,fix,iti,209.0,,,,2.0,400.651655100286,15.0
8,fix,iti,210.0,,,,2.0,402.151655100286,16.5
9,fix,iti,211.0,,,,2.0,403.651655100286,18.0
10,fix,iti,212.0,,,,2.0,405.151655100286,19.5
11,reward214,ring,213.0,-0.465,214.0,rew,2.0,406.651655100286,21.0
12,reward214,prep,214.0,-0.465,214.0,rew,2.0,408.151655100286,22.5
13,reward214,dot,215.0,-0.465,214.0,rew,2.0,409.651655100286,24.0
14,fix,iti,216.0,,,,2.0,411.151655100286,25.5
15,rewardCatch2,ring,217.0,,,rew,2.0,412.651655100286,27.0
16,fix,iti,218.0,,,,2.0,414.151655100286,28.5
17,neutral633,ring,219.0,0.5825,633.0,neu,2.0,415.651655100286,30.0
18,neutral633,prep,220.0,0.5825,633.0,neu,2.0,417.151655100286,31.5
19,neutral633,dot,221.0,0.5825,633.0,neu,2.0,418.651655100286,33.0
20,fix,iti,222.0,,,,2.0,420.151655100286,34.5
21,neutral214,ring,223.0,-0.465,214.0,neu,2.0,421.651655100286,36.0
22,neutral214,prep,224.0,-0.465,214.0,neu,2.0,423.151655100286,37.5
23,neutral214,dot,225.0,-0.465,214.0,neu,2.0,424.651655100286,39.0
24,fix,iti,226.0,,,,2.0,426.151655100286,40.5
25,fix,iti,227.0,,,,2.0,427.651655100286,42.0
26,fix,iti,228.0,,,,2.0,429.151655100286,43.5
27,fix,iti,229.0,,,,2.0,430.651655100286,45.0
28,fix,iti,230.0,,,,2.0,432.151655100286,46.5
29,neutral007,ring,231.0,-0.9825,7.0,neu,2.0,433.651655100286,48.0
30,neutral007,prep,232.0,-0.9825,7.0,neu,2.0,435.151655100286,49.5
31,neutral007,dot,233.0,-0.9825,7.0,neu,2.0,436.651655100286,51.0
32,fix,iti,234.0,,,,2.0,438.151655100286,52.5
33,neutralCatch1,ring,235.0,,,neu,2.0,439.651655100286,54.0
34,neutralCatch1,prep,236.0,,,neu,2.0,441.151655100286,55.5
35,fix,iti,237.0,,,,2.0,442.651655100286,57.0
36,rewardCatch2,ring,238.0,,,rew,2.0,444.151655100286,58.5
37,fix,iti,239.0,,,,2.0,445.651655100286,60.0
38,neutralCatch1,ring,240.0,,,neu,2.0,447.151655100286,61.5
39,neutralCatch1,prep,241.0,,,neu,2.0,448.651655100286,63.0
40,fix,iti,242.0,,,,2.0,450.151655100286,64.5
41,fix,iti,243.0,,,,2.0,451.651655100286,66.0
42,fix,iti,244.0,,,,2.0,453.151655100286,67.5
43,fix,iti,245.0,,,,2.0,454.651655100286,69.0
44,neutral108,ring,246.0,-0.73,108.0,neu,2.0,456.151655100286,70.5
45,neutral108,prep,247.0,-0.73,108.0,neu,2.0,457.651655100286,72.0
46,neutral108,dot,248.0,-0.73,108.0,neu,2.0,459.151655100286,73.5
47,fix,iti,249.0,,,,2.0,460.651655100286,75.0
48,reward532,ring,250.0,0.33,532.0,rew,2.0,462.151655100286,76.5
49,reward532,prep,251.0,0.33,532.0,rew,2.0,463.651655100286,78.0
50,reward532,dot,252.0,0.33,532.0,rew,2.0,465.151655100286,79.5
51,fix,iti,253.0,,,,2.0,466.651655100286,81.0
52,rewardCatch1,ring,254.0,,,rew,2.0,468.151655100286,82.5
53,rewardCatch1,prep,255.0,,,rew,2.0,469.651655100286,84.0
54,fix,iti,256.0,,,,2.0,471.151655100286,85.5
55,fix,iti,257.0,,,,2.0,472.651655100286,87.0
56,fix,iti,258.0,,,,2.0,474.151655100286,88.5
57,fix,iti,259.0,,,,2.0,475.651655100286,90.0
58,fix,iti,260.0,,,,2.0,477.151655100286,91.5
59,fix,iti,261.0,,,,2.0,478.651655100286,93.0
60,reward426,ring,262.0,0.065,426.0,rew,2.0,480.151655100286,94.5
61,reward426,prep,263.0,0.065,426.0,rew,2.0,481.651655100286,96.0
62,reward426,dot,264.0,0.065,426.0,rew,2.0,483.151655100286,97.5
63,fix,iti,265.0,,,,2.0,484.651655100286,99.0
64,neutral007,ring,266.0,-0.9825,7.0,neu,2.0,486.151655100286,100.5
65,neutral007,prep,267.0,-0.9825,7.0,neu,2.0,487.651655100286,102.0
66,neutral007,dot,268.0,-0.9825,7.0,neu,2.0,489.151655100286,103.5
67,fix,iti,269.0,,,,2.0,490.651655100286,105.0
68,fix,iti,270.0,,,,2.0,492.151655100286,106.5
69,fix,iti,271.0,,,,2.0,493.651655100286,108.0
70,reward633,ring,272.0,0.5825,633.0,rew,2.0,495.151655100286,109.5
71,reward633,prep,273.0,0.5825,633.0,rew,2.0,496.651655100286,111.0
72,reward633,dot,274.0,0.5825,633.0,rew,2.0,498.151655100286,112.5
73,fix,iti,275.0,,,,2.0,499.651655100286,114.0
74,fix,iti,276.0,,,,2.0,501.151655100286,115.5
75,fix,iti,277.0,,,,2.0,502.651655100286,117.0
76,neutral108,ring,278.0,-0.73,108.0,neu,2.0,504.151655100286,118.5
77,neutral108,prep,279.0,-0.73,108.0,neu,2.0,505.651655100286,120.0
78,neutral108,dot,280.0,-0.73,108.0,neu,2.0,507.151655100286,121.5
79,fix,iti,281.0,,,,2.0,508.651655100286,123.0
80,neutral426,ring,282.0,0.065,426.0,neu,2.0,510.151655100286,124.5
81,neutral426,prep,283.0,0.065,426.0,neu,2.0,511.651655100286,126.0
82,neutral426,dot,284.0,0.065,426.0,neu,2.0,513.151655100286,127.5
83,fix,iti,285.0,,,,2.0,514.651655100286,129.0
84,neutralCatch2,ring,286.0,,,neu,2.0,516.151655100286,130.5
85,fix,iti,287.0,,,,2.0,517.651655100286,132.0
86,fix,iti,288.0,,,,2.0,519.151655100286,133.5
87,fix,iti,289.0,,,,2.0,520.651655100286,135.0
88,fix,iti,290.0,,,,2.0,522.151655100286,136.5
89,fix,iti,291.0,,,,2.0,523.651655100286,138.0
90,fix,iti,292.0,,,,2.0,525.151655100286,139.5
91,fix,iti,293.0,,,,2.0,526.651655100286,141.0
92,fix,iti,294.0,,,,2.0,528.151655100286,142.5
93,fix,iti,295.0,,,,2.0,529.651655100286,144.0
94,neutral532,ring,296.0,0.33,532.0,neu,2.0,531.151655100286,145.5
95,neutral532,prep,297.0,0.33,532.0,neu,2.0,532.651655100286,147.0
96,neutral532,dot,298.0,0.33,532.0,neu,2.0,534.151655100286,148.5
97,fix,iti,299.0,,,,2.0,535.651655100286,150.0
98,reward633,ring,300.0,0.5825,633.0,rew,2.0,537.151655100286,151.5
99,reward633,prep,301.0,0.5825,633.0,rew,2.0,538.651655100286,153.0
100,reward633,dot,302.0,0.5825,633.0,rew,2.0,540.151655100286,154.5
101,fix,iti,303.0,,,,2.0,541.651655100286,156.0
102,reward007,ring,304.0,-0.9825,7.0,rew,2.0,543.151655100286,157.5
103,reward007,prep,305.0,-0.9825,7.0,rew,2.0,544.651655100286,159.0
104,reward007,dot,306.0,-0.9825,7.0,rew,2.0,546.151655100286,160.5
105,fix,iti,307.0,,,,2.0,547.651655100286,162.0
106,neutral007,ring,308.0,-0.9825,7.0,neu,2.0,549.151655100286,163.5
107,neutral007,prep,309.0,-0.9825,7.0,neu,2.0,550.651655100286,165.0
108,neutral007,dot,310.0,-0.9825,7.0,neu,2.0,552.151655100286,166.5
109,fix,iti,311.0,,,,2.0,553.651655100286,168.0
110,rewardCatch1,ring,312.0,,,rew,2.0,555.151655100286,169.5
111,rewardCatch1,prep,313.0,,,rew,2.0,556.651655100286,171.0
112,fix,iti,314.0,,,,2.0,558.151655100286,172.5
113,fix,iti,315.0,,,,2.0,559.651655100286,174.0
114,fix,iti,316.0,,,,2.0,561.151655100286,175.5
115,neutral633,ring,317.0,0.5825,633.0,neu,2.0,562.651655100286,177.0
116,neutral633,prep,318.0,0.5825,633.0,neu,2.0,564.151655100286,178.5
117,neutral633,dot,319.0,0.5825,633.0,neu,2.0,565.651655100286,180.0
118,fix,iti,320.0,,,,2.0,567.151655100286,181.5
119,fix,iti,321.0,,,,2.0,568.651655100286,183.0
120,fix,iti,322.0,,,,2.0,570.151655100286,184.5
121,neutral532,ring,323.0,0.33,532.0,neu,2.0,571.651655100286,186.0
122,neutral532,prep,324.0,0.33,532.0,neu,2.0,573.151655100286,187.5
123,neutral532,dot,325.0,0.33,532.0,neu,2.0,574.651655100286,189.0
124,fix,iti,326.0,,,,2.0,576.151655100286,190.5
125,reward214,ring,327.0,-0.465,214.0,rew,2.0,577.651655100286,192.0
126,reward214,prep,328.0,-0.465,214.0,rew,2.0,579.151655100286,193.5
127,reward214,dot,329.0,-0.465,214.0,rew,2.0,580.651655100286,195.0
128,fix,iti,330.0,,,,2.0,582.151655100286,196.5
129,neutral426,ring,331.0,0.065,426.0,neu,2.0,583.651655100286,198.0
130,neutral426,prep,332.0,0.065,426.0,neu,2.0,585.151655100286,199.5
131,neutral426,dot,333.0,0.065,426.0,neu,2.0,586.651655100286,201.0
132,fix,iti,334.0,,,,2.0,588.151655100286,202.5
133,neutralCatch2,ring,335.0,,,neu,2.0,589.651655100286,204.0
134,fix,iti,336.0,,,,2.0,591.151655100286,205.5
135,neutral214,ring,337.0,-0.465,214.0,neu,2.0,592.651655100286,207.0
136,neutral214,prep,338.0,-0.465,214.0,neu,2.0,594.151655100286,208.5
137,neutral214,dot,339.0,-0.465,214.0,neu,2.0,595.651655100286,210.0
138,fix,iti,340.0,,,,2.0,597.151655100286,211.5
139,reward426,ring,341.0,0.065,426.0,rew,2.0,598.651655100286,213.0
