onset	event_name	ring_type	position
0	ring	neu	108
1.5	prep	neu	108
3	dot	neu	108
4.5	iti	NA	NA
6	ring	rew	532
7.5	prep	rew	532
9	dot	rew	532
10.5	iti	NA	NA
12	ring	rew	7
13.5	prep	rew	7
15	dot	rew	7
16.5	iti	NA	NA
18	ring	neu	532
19.5	prep	neu	532
21	dot	neu	532
22.5	iti	NA	NA
24	ring	rew	532
25.5	prep	rew	532
27	dot	rew	532
28.5	iti	NA	NA
30	ring	rew	7
31.5	prep	rew	7
33	dot	rew	7
34.5	iti	NA	NA
36	ring	neu	426
37.5	prep	neu	426
39	dot	neu	426
40.5	iti	NA	NA
42	ring	neu	633
43.5	prep	neu	633
45	dot	neu	633
46.5	iti	NA	NA
48	ring	neu	532
49.5	prep	neu	532
51	dot	neu	532
52.5	iti	NA	NA
54	ring	rew	108
55.5	prep	rew	108
57	dot	rew	108
58.5	iti	NA	NA
60	ring	rew	426
61.5	prep	rew	426
63	dot	rew	426
64.5	iti	NA	NA
66	ring	rew	7
67.5	prep	rew	7
69	dot	rew	7
70.5	iti	NA	NA
72	ring	neu	108
73.5	prep	neu	108
75	dot	neu	108
76.5	iti	NA	NA
78	ring	neu	7
79.5	prep	neu	7
81	dot	neu	7
82.5	iti	NA	NA
84	ring	rew	633
85.5	prep	rew	633
87	dot	rew	633
88.5	iti	NA	NA
90	ring	neu	633
91.5	prep	neu	633
93	dot	neu	633
94.5	iti	NA	NA
96	ring	rew	214
97.5	prep	rew	214
99	dot	rew	214
100.5	iti	NA	NA
102	ring	rew	426
103.5	prep	rew	426
105	dot	rew	426
106.5	iti	NA	NA
108	ring	neu	214
109.5	prep	neu	214
111	dot	neu	214
112.5	iti	NA	NA
114	ring	neu	7
115.5	prep	neu	7
117	dot	neu	7
118.5	iti	NA	NA
120	ring	neu	633
121.5	prep	neu	633
123	dot	neu	633
124.5	iti	NA	NA
126	ring	rew	633
127.5	prep	rew	633
129	dot	rew	633
130.5	iti	NA	NA
132	ring	rew	633
133.5	prep	rew	633
135	dot	rew	633
136.5	iti	NA	NA
138	ring	neu	214
139.5	prep	neu	214
141	dot	neu	214
142.5	iti	NA	NA
144	ring	neu	7
145.5	prep	neu	7
147	dot	neu	7
148.5	iti	NA	NA
150	ring	rew	214
151.5	prep	rew	214
153	dot	rew	214
154.5	iti	NA	NA
156	ring	rew	108
157.5	prep	rew	108
159	dot	rew	108
160.5	iti	NA	NA
162	ring	neu	426
163.5	prep	neu	426
165	dot	neu	426
166.5	iti	NA	NA
