onset	event_name	ring_type	position
0	iti	iti	NA
3	ring	neu	7
4.5	prep	neu	7
6	dot	neu	7
7.51	iti	iti	NA
9.01	ring	neu	426
10.51	prep	neu	426
12.01	dot	neu	426
14.64	iti	iti	NA
16.14	ring	neu	NA
17.64	prep	neu	NA
19.64	iti	iti	NA
21.14	ring	rew	NA
22.64	prep	rew	NA
24.32	iti	iti	NA
25.82	ring	rew	7
27.32	prep	rew	7
28.82	dot	rew	7
30.5	iti	iti	NA
32	ring	rew	214
33.5	prep	rew	214
35	dot	rew	214
36.52	iti	iti	NA
38.02	ring	neu	214
39.52	prep	neu	214
41.02	dot	neu	214
42.54	iti	iti	NA
44.04	ring	rew	NA
45.54	prep	rew	NA
47.08	iti	iti	NA
48.58	ring	rew	633
50.08	prep	rew	633
51.58	dot	rew	633
53.68	iti	iti	NA
55.18	ring	rew	7
56.68	prep	rew	7
58.18	dot	rew	7
59.93	iti	iti	NA
61.43	ring	neu	426
62.93	prep	neu	426
64.43	dot	neu	426
66.09	iti	iti	NA
67.59	ring	neu	7
69.09	prep	neu	7
70.59	dot	neu	7
72.49	iti	iti	NA
73.99	ring	rew	426
75.49	prep	rew	426
76.99	dot	rew	426
78.57	iti	iti	NA
80.07	ring	neu	NA
81.66	iti	iti	NA
83.16	ring	neu	NA
84.84	iti	iti	NA
86.34	ring	rew	214
87.84	prep	rew	214
89.34	dot	rew	214
91.13	iti	iti	NA
92.63	ring	rew	NA
94.39	iti	iti	NA
95.89	ring	rew	214
97.39	prep	rew	214
98.89	dot	rew	214
100.63	iti	iti	NA
102.13	ring	neu	NA
103.63	prep	neu	NA
105.19	iti	iti	NA
106.69	ring	neu	633
108.19	prep	neu	633
109.69	dot	neu	633
111.9	iti	iti	NA
113.4	ring	neu	633
114.9	prep	neu	633
116.4	dot	neu	633
119.57	iti	iti	NA
121.07	ring	rew	426
122.57	prep	rew	426
124.07	dot	rew	426
126.4	iti	iti	NA
127.9	ring	rew	7
129.4	prep	rew	7
130.9	dot	rew	7
133.2	iti	iti	NA
134.7	ring	rew	NA
136.56	iti	iti	NA
138.06	ring	rew	NA
