onset	event_name	ring_type	position
0	iti	iti	NA
4	ring	neu	7
5.5	prep	neu	7
7	dot	neu	7
8.5	iti	iti	NA
10.3	ring	neu	7
11.8	prep	neu	7
13.3	dot	neu	7
14.8	iti	iti	NA
17.87	ring	neu	NA
19.37	prep	neu	NA
20.87	iti	iti	NA
23.06	ring	rew	426
24.56	prep	rew	426
26.06	dot	rew	426
27.56	iti	iti	NA
29.8	ring	rew	214
31.3	prep	rew	214
32.8	dot	rew	214
34.3	iti	iti	NA
35.95	ring	neu	633
37.45	prep	neu	633
38.95	dot	neu	633
40.45	iti	iti	NA
43.28	ring	neu	214
44.78	prep	neu	214
46.28	dot	neu	214
47.78	iti	iti	NA
49.34	ring	rew	7
50.84	prep	rew	7
52.34	dot	rew	7
53.84	iti	iti	NA
58.68	ring	rew	NA
60.18	prep	rew	NA
61.68	iti	iti	NA
63.42	ring	rew	426
64.92	prep	rew	426
66.42	dot	rew	426
67.92	iti	iti	NA
70.92	ring	rew	7
72.42	prep	rew	7
73.92	dot	rew	7
75.42	iti	iti	NA
80.12	ring	rew	NA
81.62	iti	iti	NA
84.23	ring	neu	426
85.73	prep	neu	426
87.23	dot	neu	426
88.73	iti	iti	NA
92.79	ring	neu	633
94.29	prep	neu	633
95.79	dot	neu	633
97.29	iti	iti	NA
100.09	ring	rew	426
101.59	prep	rew	426
103.09	dot	rew	426
104.59	iti	iti	NA
108.76	ring	rew	214
110.26	prep	rew	214
111.76	dot	rew	214
113.26	iti	iti	NA
114.78	ring	neu	214
116.28	prep	neu	214
117.78	dot	neu	214
119.28	iti	iti	NA
122.65	ring	rew	633
124.15	prep	rew	633
125.65	dot	rew	633
127.15	iti	iti	NA
128.85	ring	rew	214
130.35	prep	rew	214
131.85	dot	rew	214
133.35	iti	iti	NA
134.87	ring	rew	NA
136.37	iti	iti	NA
139.07	ring	rew	633
140.57	prep	rew	633
142.07	dot	rew	633
143.57	iti	iti	NA
146.18	ring	rew	633
147.68	prep	rew	633
149.18	dot	rew	633
150.68	iti	iti	NA
156.06	ring	rew	NA
157.56	iti	iti	NA
161.77	ring	neu	NA
163.27	iti	iti	NA
165.12	ring	rew	7
166.62	prep	rew	7
168.12	dot	rew	7
169.62	iti	iti	NA
176.7	ring	neu	426
178.2	prep	neu	426
179.7	dot	neu	426
181.2	iti	iti	NA
183.98	ring	neu	7
185.48	prep	neu	7
186.98	dot	neu	7
188.48	iti	iti	NA
190.52	ring	neu	NA
192.02	iti	iti	NA
194.64	ring	neu	214
196.14	prep	neu	214
197.64	dot	neu	214
199.14	iti	iti	NA
200.71	ring	rew	NA
202.21	iti	iti	NA
204.06	ring	neu	7
205.56	prep	neu	7
207.06	dot	neu	7
208.56	iti	iti	NA
210.88	ring	rew	426
212.38	prep	rew	426
213.88	dot	rew	426
215.38	iti	iti	NA
218.46	ring	rew	NA
219.96	prep	rew	NA
221.46	iti	iti	NA
224.13	ring	neu	633
225.63	prep	neu	633
227.13	dot	neu	633
228.63	iti	iti	NA
231.4	ring	neu	NA
232.9	iti	iti	NA
234.58	ring	neu	NA
236.08	iti	iti	NA
237.97	ring	neu	214
239.47	prep	neu	214
240.97	dot	neu	214
242.47	iti	iti	NA
245.18	ring	neu	633
246.68	prep	neu	633
248.18	dot	neu	633
249.68	iti	iti	NA
251.36	ring	rew	214
252.86	prep	rew	214
254.36	dot	rew	214
255.86	iti	iti	NA
259.58	ring	neu	NA
261.08	iti	iti	NA
262.89	ring	rew	7
264.39	prep	rew	7
265.89	dot	rew	7
267.39	iti	iti	NA
271.1	ring	neu	NA
272.6	prep	neu	NA
274.1	iti	iti	NA
279.7	ring	rew	NA
281.2	iti	iti	NA
283.52	ring	neu	426
285.02	prep	neu	426
286.52	dot	neu	426
288.02	iti	iti	NA
290.69	ring	neu	426
292.19	prep	neu	426
293.69	dot	neu	426
295.19	iti	iti	NA
296.69	ring	rew	633
298.19	prep	rew	633
299.69	dot	rew	633
301.19	iti	iti	NA
302.7	iti	NA	NA
